,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
CC20,WEEKDAY,1.0,33.9,263.4,656.9,711.0,433.7,295.6,258.7,300.7,401.3,253.4,192.1,293.8,429.2,505.1,312.9,164.3,141.2,93.8,23.9,14.4,17.4,261.2,642.9,435.4,265.5,180.0,181.3,235.1,256.5,246.0,276.4,325.0,440.5,641.6,534.0,297.7,240.2,196.0,79.1
CC20,WEEKENDS/HOLIDAY,1.4,11.6,79.8,127.8,237.3,296.6,317.1,346.1,304.4,349.3,237.8,218.4,243.1,291.6,292.0,266.8,133.2,100.9,71.6,24.7,17.6,8.4,63.2,174.4,219.3,248.2,220.1,257.0,219.9,234.8,246.6,237.4,256.7,307.1,290.7,270.4,213.2,199.7,166.4,82.0
CC21,WEEKDAY,8.5,49.7,254.5,592.3,767.4,460.1,317.5,350.8,436.4,627.6,418.2,528.8,450.2,544.1,590.3,553.4,485.9,483.9,431.3,181.9,18.2,5.0,124.4,488.5,493.7,453.9,397.2,450.6,629.3,440.3,396.1,450.7,512.3,730.2,1263.4,985.3,526.0,408.1,304.9,144.2
CC21,WEEKENDS/HOLIDAY,16.6,20.6,97.1,143.8,223.2,312.7,344.0,369.6,463.4,492.1,459.0,441.1,434.7,485.0,493.4,440.7,395.8,366.1,358.9,181.6,23.0,0.4,62.4,164.1,288.8,407.7,467.6,409.4,452.0,516.9,435.8,404.9,440.0,487.1,545.0,552.1,395.7,358.7,299.7,147.9
CC23,WEEKDAY,6.4,9.8,53.7,178.0,218.3,174.0,193.6,512.6,813.9,713.0,492.9,645.5,1044.1,3157.5,4206.7,2240.5,1050.7,677.8,422.8,128.1,7.6,28.6,740.4,1971.7,4325.8,3758.9,1225.7,645.2,760.9,849.1,478.1,271.6,264.9,314.4,466.5,318.5,124.4,93.9,44.1,20.7
CC23,WEEKENDS/HOLIDAY,4.4,5.8,34.8,69.4,80.1,59.2,95.7,149.9,225.9,219.4,201.2,213.6,270.2,371.8,290.0,236.9,206.1,160.9,143.4,67.0,10.9,2.7,138.3,319.1,324.8,274.6,245.0,211.4,203.1,235.3,184.8,164.1,119.9,121.9,168.8,142.6,83.0,62.3,42.7,25.1
CC24,WEEKDAY,4.1,8.7,51.0,210.5,355.5,377.5,558.0,965.9,1300.0,1105.3,1039.3,1443.9,2163.6,4214.3,4799.5,2422.8,1647.1,1447.2,669.0,179.4,8.6,32.2,895.6,3107.2,5289.0,4027.4,1772.3,1705.0,1286.0,1588.0,1036.4,778.1,496.1,708.1,863.5,509.5,231.4,180.0,135.6,61.8
CC24,WEEKENDS/HOLIDAY,1.0,7.3,24.8,147.8,196.4,166.0,205.7,335.9,456.7,447.9,448.0,539.1,603.6,726.3,629.7,523.3,436.2,435.1,201.7,78.1,13.0,6.7,349.2,412.7,600.9,502.9,390.7,419.8,593.2,459.8,400.7,345.6,320.0,300.4,337.0,337.1,231.9,222.0,180.1,71.0
CC25,WEEKDAY,1.8,50.7,249.6,545.4,729.0,440.5,258.3,284.5,275.1,261.5,251.0,287.4,387.8,1117.3,1357.4,662.2,320.9,192.0,132.6,61.6,11.5,12.0,429.0,961.8,1374.5,577.5,199.6,187.8,200.8,245.2,247.0,206.6,237.2,340.9,595.7,471.9,306.2,292.5,213.5,116.0
CC25,WEEKENDS/HOLIDAY,1.8,34.1,115.3,203.3,244.4,265.1,305.9,366.8,396.6,381.4,315.1,371.9,359.0,392.7,378.7,379.0,194.8,107.0,98.2,48.6,20.1,3.8,248.3,338.1,235.1,201.3,195.9,202.7,221.6,275.3,280.3,255.6,244.9,258.3,322.4,276.1,240.2,282.2,191.1,121.6
CC26,WEEKDAY,0.5,11.7,67.3,283.6,306.7,163.2,106.3,134.6,179.5,172.2,124.9,176.1,269.3,1028.1,1323.6,855.8,375.2,223.6,121.9,48.9,7.7,21.1,720.5,1332.8,1225.2,587.1,178.0,131.4,172.7,183.9,137.9,109.0,125.0,201.8,380.5,256.6,135.7,148.1,110.9,40.7
CC26,WEEKENDS/HOLIDAY,0.6,12.4,41.4,199.4,199.8,147.3,128.3,134.0,148.3,131.6,120.9,163.9,251.7,334.1,239.9,398.6,203.1,115.2,84.3,45.2,11.4,5.8,315.1,477.4,220.0,162.6,94.0,100.8,105.7,145.3,129.0,117.8,112.0,176.9,303.6,219.4,151.1,159.2,104.4,48.7
