DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
WEEKDAY,BP4,DT11,8.0,23
WEEKDAY,BP4,DT17,2.0,23
WEEKDAY,BP4,DT18,2.0,23
WEEKDAY,BP4,DT32,1.0,23
WEEKDAY,BP4,DT5,1.0,23
WEEKDAY,BP4,DT6,1.0,23
WEEKDAY,BP4,DT8,1.0,23
WEEKDAY,BP4,EW11,1.0,23
WEEKDAY,BP4,EW12,3.0,23
WEEKDAY,BP4,EW13-NS25,2.0,23
WEEKDAY,BP4,EW14-NS26,2.0,23
WEEKDAY,BP4,EW15,11.0,23
WEEKDAY,BP4,EW16,2.0,23
WEEKDAY,BP4,EW17,44.0,23
WEEKDAY,BP4,EW18,36.0,23
WEEKDAY,BP4,EW19,22.0,23
WEEKDAY,BP4,EW2,2.0,23
WEEKDAY,BP4,EW20,41.0,23
WEEKDAY,BP4,EW21,22.0,23
WEEKDAY,BP4,EW22,26.0,23
WEEKDAY,BP4,EW23,102.0,23
WEEKDAY,BP4,EW24-NS1,284.0,23
WEEKDAY,BP4,EW25,2.0,23
WEEKDAY,BP4,EW26,33.0,23
WEEKDAY,BP4,EW27,86.0,23
WEEKDAY,BP4,EW28,29.0,23
WEEKDAY,BP4,EW29,17.0,23
WEEKDAY,BP4,EW30,2.0,23
WEEKDAY,BP4,EW31,2.0,23
WEEKDAY,BP4,EW32,2.0,23
WEEKDAY,BP4,EW33,1.0,23
WEEKDAY,BP4,EW5,2.0,23
WEEKDAY,BP4,NE1,5.0,23
WEEKDAY,BP4,NE12,2.0,23
WEEKDAY,BP4,NE14,1.0,23
WEEKDAY,BP4,NE16-STC,2.0,23
WEEKDAY,BP4,NE4,1.0,23
WEEKDAY,BP4,NE9,1.0,23
WEEKDAY,BP4,NS10,161.0,23
WEEKDAY,BP4,NS11,140.0,23
WEEKDAY,BP4,NS13,203.0,23
WEEKDAY,BP4,NS14,68.0,23
WEEKDAY,BP4,NS15,72.0,23
WEEKDAY,BP4,NS16,65.0,23
WEEKDAY,BP4,NS17,16.0,23
WEEKDAY,BP4,NS18,5.0,23
WEEKDAY,BP4,NS19,11.0,23
WEEKDAY,BP4,NS2,68.0,23
WEEKDAY,BP4,NS20,1.0,23
WEEKDAY,BP4,NS22,2.0,23
WEEKDAY,BP4,NS23,1.0,23
WEEKDAY,BP4,NS3,38.0,23
WEEKDAY,BP4,NS4,493.0,23
WEEKDAY,BP4,NS5,169.0,23
WEEKDAY,BP4,NS7,33.0,23
WEEKDAY,BP4,NS8,63.0,23
WEEKDAY,BP4,NS9,311.0,23
WEEKDAY,BP5,BP10,258.0,23
WEEKDAY,BP5,BP11,233.0,23
WEEKDAY,BP5,BP12,204.0,23
WEEKDAY,BP5,BP13,80.0,23
WEEKDAY,BP5,BP2,66.0,23
WEEKDAY,BP5,BP3,74.0,23
WEEKDAY,BP5,BP4,48.0,23
WEEKDAY,BP5,BP6,594.0,23
WEEKDAY,BP5,BP7,82.0,23
WEEKDAY,BP5,BP8,89.0,23
WEEKDAY,BP5,BP9,189.0,23
WEEKDAY,BP5,CC24,4.0,23
WEEKDAY,BP5,CG2,1.0,23
WEEKDAY,BP5,DT11,1.0,23
WEEKDAY,BP5,DT6,1.0,23
WEEKDAY,BP5,EW15,2.0,23
WEEKDAY,BP5,EW17,9.0,23
WEEKDAY,BP5,EW18,9.0,23
WEEKDAY,BP5,EW19,4.0,23
WEEKDAY,BP5,EW20,8.0,23
WEEKDAY,BP5,EW21,4.0,23
WEEKDAY,BP5,EW22,22.0,23
WEEKDAY,BP5,EW23,27.0,23
WEEKDAY,BP5,EW24-NS1,130.0,23
WEEKDAY,BP5,EW26,4.0,23
WEEKDAY,BP5,EW27,19.0,23
WEEKDAY,BP5,EW28,11.0,23
WEEKDAY,BP5,EW29,16.0,23
WEEKDAY,BP5,EW3,1.0,23
WEEKDAY,BP5,EW30,3.0,23
WEEKDAY,BP5,EW31,1.0,23
WEEKDAY,BP5,EW32,3.0,23
WEEKDAY,BP5,EW33,2.0,23
WEEKDAY,BP5,NE1,1.0,23
WEEKDAY,BP5,NS10,25.0,23
WEEKDAY,BP5,NS11,15.0,23
WEEKDAY,BP5,NS13,19.0,23
WEEKDAY,BP5,NS14,6.0,23
WEEKDAY,BP5,NS15,28.0,23
WEEKDAY,BP5,NS16,7.0,23
WEEKDAY,BP5,NS2,25.0,23
WEEKDAY,BP5,NS3,10.0,23
WEEKDAY,BP5,NS4,176.0,23
WEEKDAY,BP5,NS5,52.0,23
WEEKDAY,BP5,NS7,18.0,23
WEEKDAY,BP5,NS8,7.0,23
WEEKDAY,BP5,NS9,44.0,23
WEEKDAY,BP6,BP10,1276.0,23
WEEKDAY,BP6,BP11,1278.0,23
WEEKDAY,BP6,BP12,1161.0,23
WEEKDAY,BP6,BP13,478.0,23
WEEKDAY,BP6,BP2,1176.0,23
WEEKDAY,BP6,BP3,1350.0,23
WEEKDAY,BP6,BP4,1158.0,23
WEEKDAY,BP6,BP5,517.0,23
WEEKDAY,BP6,BP7,362.0,23
WEEKDAY,BP6,BP8,527.0,23
WEEKDAY,BP6,BP9,912.0,23
WEEKDAY,BP6,EW17,3.0,23
WEEKDAY,BP6,EW18,6.0,23
WEEKDAY,BP6,EW19,4.0,23
WEEKDAY,BP6,EW20,6.0,23
WEEKDAY,BP6,EW21,1.0,23
WEEKDAY,BP6,EW22,41.0,23
WEEKDAY,BP6,EW23,55.0,23
WEEKDAY,BP6,EW24-NS1,381.0,23
WEEKDAY,BP6,EW25,1.0,23
WEEKDAY,BP6,EW26,30.0,23
WEEKDAY,BP6,EW27,74.0,23
WEEKDAY,BP6,EW28,38.0,23
WEEKDAY,BP6,EW29,25.0,23
WEEKDAY,BP6,EW30,7.0,23
WEEKDAY,BP6,EW31,4.0,23
WEEKDAY,BP6,EW32,2.0,23
WEEKDAY,BP6,EW33,1.0,23
WEEKDAY,BP6,NS10,112.0,23
WEEKDAY,BP6,NS11,91.0,23
WEEKDAY,BP6,NS13,66.0,23
WEEKDAY,BP6,NS14,18.0,23
WEEKDAY,BP6,NS15,31.0,23
WEEKDAY,BP6,NS16,9.0,23
WEEKDAY,BP6,NS2,80.0,23
WEEKDAY,BP6,NS3,119.0,23
WEEKDAY,BP6,NS4,1400.0,23
WEEKDAY,BP6,NS5,330.0,23
WEEKDAY,BP6,NS7,53.0,23
WEEKDAY,BP6,NS8,42.0,23
WEEKDAY,BP6,NS9,162.0,23
WEEKDAY,BP7,BP10,181.0,23
WEEKDAY,BP7,BP11,101.0,23
WEEKDAY,BP7,BP12,58.0,23
WEEKDAY,BP7,BP13,12.0,23
WEEKDAY,BP7,BP2,41.0,23
WEEKDAY,BP7,BP3,47.0,23
WEEKDAY,BP7,BP4,59.0,23
WEEKDAY,BP7,BP5,31.0,23
WEEKDAY,BP7,BP6,465.0,23
WEEKDAY,BP7,BP8,68.0,23
WEEKDAY,BP7,BP9,197.0,23
WEEKDAY,BP7,CC12,1.0,23
WEEKDAY,BP7,DT18,1.0,23
WEEKDAY,BP7,EW15,1.0,23
WEEKDAY,BP7,EW17,4.0,23
WEEKDAY,BP7,EW18,3.0,23
WEEKDAY,BP7,EW19,4.0,23
WEEKDAY,BP7,EW20,4.0,23
WEEKDAY,BP7,EW21,2.0,23
WEEKDAY,BP7,EW22,27.0,23
WEEKDAY,BP7,EW23,22.0,23
WEEKDAY,BP7,EW24-NS1,191.0,23
WEEKDAY,BP7,EW26,10.0,23
WEEKDAY,BP7,EW27,40.0,23
WEEKDAY,BP7,EW28,9.0,23
WEEKDAY,BP7,EW29,20.0,23
