DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
WEEKDAY,BP13,EW14-NS26,1.0,21
WEEKDAY,BP13,EW15,1.0,21
WEEKDAY,BP13,EW16,2.0,21
WEEKDAY,BP13,EW17,6.0,21
WEEKDAY,BP13,EW18,7.0,21
WEEKDAY,BP13,EW19,7.0,21
WEEKDAY,BP13,EW20,6.0,21
WEEKDAY,BP13,EW21,4.0,21
WEEKDAY,BP13,EW22,28.0,21
WEEKDAY,BP13,EW23,37.0,21
WEEKDAY,BP13,EW24-NS1,228.0,21
WEEKDAY,BP13,EW25,1.0,21
WEEKDAY,BP13,EW26,10.0,21
WEEKDAY,BP13,EW27,34.0,21
WEEKDAY,BP13,EW28,20.0,21
WEEKDAY,BP13,EW29,26.0,21
WEEKDAY,BP13,EW30,3.0,21
WEEKDAY,BP13,EW31,2.0,21
WEEKDAY,BP13,EW32,7.0,21
WEEKDAY,BP13,EW33,3.0,21
WEEKDAY,BP13,EW5,0.0,21
WEEKDAY,BP13,EW6,0.0,21
WEEKDAY,BP13,EW7,0.0,21
WEEKDAY,BP13,EW8,0.0,21
WEEKDAY,BP13,EW9,0.0,21
WEEKDAY,BP13,NE1,0.0,21
WEEKDAY,BP13,NE12,0.0,21
WEEKDAY,BP13,NE14,0.0,21
WEEKDAY,BP13,NE15,0.0,21
WEEKDAY,BP13,NE16-STC,0.0,21
WEEKDAY,BP13,NE17-PTC,0.0,21
WEEKDAY,BP13,NE7,0.0,21
WEEKDAY,BP13,NE8,0.0,21
WEEKDAY,BP13,NE9,0.0,21
WEEKDAY,BP13,NS10,17.0,21
WEEKDAY,BP13,NS11,24.0,21
WEEKDAY,BP13,NS13,19.0,21
WEEKDAY,BP13,NS14,4.0,21
WEEKDAY,BP13,NS15,26.0,21
WEEKDAY,BP13,NS16,9.0,21
WEEKDAY,BP13,NS17,2.0,21
WEEKDAY,BP13,NS18,1.0,21
WEEKDAY,BP13,NS19,1.0,21
WEEKDAY,BP13,NS2,30.0,21
WEEKDAY,BP13,NS20,1.0,21
WEEKDAY,BP13,NS22,0.0,21
WEEKDAY,BP13,NS23,0.0,21
WEEKDAY,BP13,NS28,0.0,21
WEEKDAY,BP13,NS3,26.0,21
WEEKDAY,BP13,NS4,235.0,21
WEEKDAY,BP13,NS5,40.0,21
WEEKDAY,BP13,NS7,7.0,21
WEEKDAY,BP13,NS8,5.0,21
WEEKDAY,BP13,NS9,35.0,21
WEEKDAY,BP13,PE3,0.0,21
WEEKDAY,BP14,BP10,8.0,21
WEEKDAY,BP14,BP11,8.0,21
WEEKDAY,BP14,BP12,5.0,21
WEEKDAY,BP14,BP13,3.0,21
WEEKDAY,BP14,BP2,1.0,21
WEEKDAY,BP14,BP3,1.0,21
WEEKDAY,BP14,BP4,2.0,21
WEEKDAY,BP14,BP5,0.0,21
WEEKDAY,BP14,BP6,22.0,21
WEEKDAY,BP14,BP7,2.0,21
WEEKDAY,BP14,BP8,2.0,21
WEEKDAY,BP14,BP9,7.0,21
WEEKDAY,BP14,DT11,0.0,21
WEEKDAY,BP14,DT33,0.0,21
WEEKDAY,BP14,EW12,0.0,21
WEEKDAY,BP14,EW18,0.0,21
WEEKDAY,BP14,EW23,0.0,21
WEEKDAY,BP14,EW24-NS1,1.0,21
WEEKDAY,BP14,EW27,0.0,21
WEEKDAY,BP14,EW28,0.0,21
WEEKDAY,BP14,NS10,0.0,21
WEEKDAY,BP14,NS11,0.0,21
WEEKDAY,BP14,NS13,0.0,21
WEEKDAY,BP14,NS14,0.0,21
WEEKDAY,BP14,NS16,0.0,21
WEEKDAY,BP14,NS19,0.0,21
WEEKDAY,BP14,NS2,0.0,21
WEEKDAY,BP14,NS22,0.0,21
WEEKDAY,BP14,NS3,0.0,21
WEEKDAY,BP14,NS4,4.0,21
WEEKDAY,BP14,NS5,0.0,21
WEEKDAY,BP14,NS9,0.0,21
WEEKDAY,BP2,BP10,63.0,21
WEEKDAY,BP2,BP11,70.0,21
WEEKDAY,BP2,BP12,92.0,21
WEEKDAY,BP2,BP13,43.0,21
WEEKDAY,BP2,BP14,0.0,21
WEEKDAY,BP2,BP3,63.0,21
WEEKDAY,BP2,BP4,121.0,21
WEEKDAY,BP2,BP5,92.0,21
WEEKDAY,BP2,BP6,1688.0,21
WEEKDAY,BP2,BP7,45.0,21
WEEKDAY,BP2,BP8,129.0,21
WEEKDAY,BP2,BP9,97.0,21
WEEKDAY,BP2,CC1-NE6-NS24,1.0,21
WEEKDAY,BP2,CC10,1.0,21
WEEKDAY,BP2,CC11,2.0,21
WEEKDAY,BP2,CC12,0.0,21
WEEKDAY,BP2,CC14,0.0,21
WEEKDAY,BP2,CC16,0.0,21
WEEKDAY,BP2,CC17,0.0,21
WEEKDAY,BP2,CC19,0.0,21
WEEKDAY,BP2,CC2,0.0,21
WEEKDAY,BP2,CC20,0.0,21
WEEKDAY,BP2,CC21,3.0,21
WEEKDAY,BP2,CC23,20.0,21
WEEKDAY,BP2,CC24,29.0,21
WEEKDAY,BP2,CC25,5.0,21
WEEKDAY,BP2,CC26,10.0,21
WEEKDAY,BP2,CC27,5.0,21
WEEKDAY,BP2,CC28,1.0,21
WEEKDAY,BP2,CC3,0.0,21
WEEKDAY,BP2,CC4-DT15,0.0,21
WEEKDAY,BP2,CC5,0.0,21
WEEKDAY,BP2,CC6,0.0,21
WEEKDAY,BP2,CC7,0.0,21
WEEKDAY,BP2,CC8,0.0,21
WEEKDAY,BP2,CE1,0.0,21
WEEKDAY,BP2,CG1,0.0,21
WEEKDAY,BP2,CG2,5.0,21
WEEKDAY,BP2,DT1,1.0,21
WEEKDAY,BP2,DT10,0.0,21
WEEKDAY,BP2,DT11,2.0,21
