,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
BP10,EW5,WEEKDAY,,,,,,,0.2,,,,0.1,,,,,,,,,
BP10,EW5,WEEKENDS/HOLIDAY,,,,0.4,0.1,,,,,,,,,0.1,,,,,,
BP10,EW7,WEEKDAY,,,,,,,0.1,,,,0.2,,,,,,,,,
BP10,EW7,WEEKENDS/HOLIDAY,,,,,,,0.1,,0.1,0.1,,,,,0.1,,,,,
BP10,EW8/CC9,WEEKDAY,,,,,,,0.2,,,,,,,,,,,,,
BP10,EW8/CC9,WEEKENDS/HOLIDAY,,,,,0.1,0.5,0.2,0.1,0.1,,,0.1,0.2,,,,,,,
BP10,EW9,WEEKDAY,,,,,,,,,,,,,,0.1,0.1,,,,,
BP10,EW9,WEEKENDS/HOLIDAY,,,,,,0.1,,0.2,,,0.1,0.1,0.2,0.1,,,,,,
BP10,NE1/CC29,WEEKENDS/HOLIDAY,,,,,,,,,0.1,,0.1,,,,,,,,,
BP10,NE14,WEEKENDS/HOLIDAY,,,,,,,,,,,,,,,0.2,,,,,
BP10,NE16/STC,WEEKENDS/HOLIDAY,,,,,,,,,0.1,,,,,,,,,,,
BP10,NE4/DT19,WEEKDAY,,,,,,,,0.1,,,,,,,,,,,,
BP10,NE4/DT19,WEEKENDS/HOLIDAY,,,,,,,,,,,0.1,,,,,,,0.1,,
BP10,NE7/DT12,WEEKDAY,,,,,,,,0.1,,,,,,,,,,,,
BP10,NE7/DT12,WEEKENDS/HOLIDAY,,,,,,,,,,,,,,0.1,,,,,,
BP10,NE8,WEEKENDS/HOLIDAY,,,,,,,,0.1,,,,,,,,,,,,
BP10,NS10,WEEKDAY,,0.3,2.8,2.4,2.7,1.1,0.8,0.9,1.0,0.5,0.7,0.7,0.6,1.5,1.0,0.6,0.5,0.9,0.3,
BP10,NS10,WEEKENDS/HOLIDAY,,0.2,2.8,1.2,0.9,0.8,0.2,0.5,0.6,0.1,0.8,0.6,0.5,2.1,0.8,,0.6,0.6,,0.1
BP10,NS11,WEEKDAY,,0.6,2.6,1.8,1.0,1.0,0.3,0.1,1.0,0.3,0.6,0.4,0.7,1.3,0.8,1.2,0.6,0.3,0.5,0.1
BP10,NS11,WEEKENDS/HOLIDAY,,0.4,1.5,1.5,0.9,0.8,1.5,0.5,1.8,1.5,1.6,1.0,1.2,1.2,0.6,0.5,0.2,,,
BP10,NS12,WEEKDAY,,0.7,0.7,0.3,,0.2,,0.1,0.1,,,0.1,0.1,,,,0.5,0.2,0.2,
BP10,NS12,WEEKENDS/HOLIDAY,,,0.5,0.1,0.1,0.1,0.2,0.2,0.1,0.1,,0.2,0.2,0.2,,0.1,0.2,,,
BP10,NS13,WEEKDAY,,0.8,1.6,2.1,1.1,1.0,1.4,0.8,0.8,0.5,0.5,0.5,0.5,1.3,0.6,0.4,0.5,0.8,0.2,
BP10,NS13,WEEKENDS/HOLIDAY,,1.0,1.5,2.6,1.9,0.8,1.1,1.1,0.8,0.8,0.8,0.2,0.5,1.8,2.1,0.4,0.4,1.4,0.2,0.1
BP10,NS14,WEEKDAY,,1.0,1.0,1.0,0.1,0.3,0.1,0.3,0.3,0.8,0.5,0.2,0.6,0.5,0.2,,0.4,0.1,0.2,
BP10,NS14,WEEKENDS/HOLIDAY,,0.6,0.1,0.4,0.1,0.2,,0.2,0.1,1.0,0.2,0.4,0.2,,0.1,0.4,0.1,0.2,,
BP10,NS15,WEEKDAY,,0.8,5.3,3.5,2.1,0.6,0.7,1.1,1.5,0.6,0.5,0.4,0.1,0.2,,,,0.1,0.1,
BP10,NS15,WEEKENDS/HOLIDAY,,0.5,1.0,0.1,0.4,0.5,0.2,0.2,0.2,0.5,,,,,0.1,,0.1,0.1,0.1,0.1
BP10,NS16,WEEKDAY,,1.4,1.2,0.5,1.5,0.5,0.4,0.7,0.5,0.3,0.3,0.6,0.3,0.3,0.5,0.3,0.1,0.1,0.4,
